            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
2458850.125000000, A.D. 2020-Jan-01 15:00:00.0000,  6.413200001400175E-02,  3.558243306136566E+05,  2.325334794806113E+01,  1.335657780556708E+01,  1.667428911179726E+02,  2.458837184774850E+06,  1.552439121057994E-04,  1.735681975920373E+02,  1.743305124664612E+02,  3.802078184305695E+05,  4.045913062474824E+05,  2.318931513106024E+06,
2458850.166666667, A.D. 2020-Jan-01 16:00:00.0000,  6.422472156847822E-02,  3.557563313205537E+05,  2.325335882460459E+01,  1.335656849097633E+01,  1.666951016935712E+02,  2.458837182605383E+06,  1.552653468960277E-04,  1.741802209314087E+02,  1.748711282737445E+02,  3.801728251646555E+05,  4.045893190087572E+05,  2.318611378500776E+06,
2458850.208333333, A.D. 2020-Jan-01 17:00:00.0000,  6.431555822027830E-02,  3.556898586157691E+05,  2.325336964472303E+01,  1.335655948659661E+01,  1.666477006524804E+02,  2.458837180420593E+06,  1.552862603825861E-04,  1.747920254468629E+02,  1.754112781034323E+02,  3.801386907099023E+05,  4.045875228040354E+05,  2.318299114893043E+06,
2458850.250000000, A.D. 2020-Jan-01 18:00:00.0000,  6.440448924721280E-02,  3.556249278456306E+05,  2.325338039568709E+01,  1.335655079847531E+01,  1.666006660998689E+02,  2.458837178218262E+06,  1.553066470396569E-04,  1.754036287929888E+02,  1.759509898664241E+02,  3.801054235066734E+05,  4.045859191677163E+05,  2.317994798433035E+06,
2458850.291666667, A.D. 2020-Jan-01 19:00:00.0000,  6.449149461487624E-02,  3.555615538938957E+05,  2.325339106467356E+01,  1.335654243189718E+01,  1.665539759174201E+02,  2.458837175996169E+06,  1.553265014802064E-04,  1.760150488037747E+02,  1.764902917178451E+02,  3.800730317759330E+05,  4.045845096579703E+05,  2.317698503277469E+06,
2458850.333333333, A.D. 2020-Jan-01 20:00:00.0000,  6.457655498635029E-02,  3.554997511774271E+05,  2.325340163877217E+01,  1.335653439137788E+01,  1.665076077740882E+02,  2.458837173752083E+06,  1.553458184572057E-04,  1.766263034830079E+02,  1.770292120457208E+02,  3.800415235179825E+05,  4.045832958585379E+05,  2.317410301579324E+06,
2458850.375000000, A.D. 2020-Jan-01 21:00:00.0000,  6.465965173157015E-02,  3.554395336420119E+05,  2.325341210499272E+01,  1.335652668065784E+01,  1.664615391367184E+02,  2.458837171483770E+06,  1.553645928648265E-04,  1.772374109948203E+02,  1.775677794597850E+02,  3.800109065112260E+05,  4.045822793804401E+05,  2.317130263477822E+06,
2458850.416666667, A.D. 2020-Jan-01 22:00:00.0000,  6.474076693634559E-02,  3.553809147583364E+05,  2.325342245027214E+01,  1.335651930269642E+01,  1.664157472805367E+02,  2.458837169188990E+06,  1.553828197396052E-04,  1.778483896543750E+02,  1.781060227804169E+02,  3.799811883109728E+05,  4.045814618636091E+05,  2.316858457088744E+06,
2458850.458333333, A.D. 2020-Jan-01 23:00:00.0000,  6.481988341104396E-02,  3.553239075181072E+05,  2.325343266148164E+01,  1.335651225966656E+01,  1.663702092995145E+02,  2.458837166865503E+06,  1.554004942615814E-04,  1.784592579186876E+02,  1.786439710277020E+02,  3.799523762482692E+05,  4.045808449784311E+05,  2.316594948494963E+06,
2458850.500000000, A.D. 2020-Jan-02 00:00:00.0000,  6.489698469893122E-02,  3.552685244303191E+05,  2.325344272543391E+01,  1.335650555294970E+01,  1.663249021166123E+02,  2.458837164511062E+06,  1.554176117554073E-04,  1.790700343775774E+02,  1.791816534106112E+02,  3.799244774287629E+05,  4.045804304272068E+05,  2.316339801737269E+06,
